Narrative,Narrative Definition,Narrative Instruction
Blaming the war on others rather than the invader,Statements attributing responsibility or fault to entities other than Russia in the context of Russia's invasion of Ukraine.,Look for direct or implied statements that shift blame away from Russia. Consider who is being held responsible for negative events or situations.
Discrediting Ukraine,"Statements that undermine the legitimacy, actions, or intentions of Ukraine or Ukrainians as a nation.",Look for direct or implied statements that attack some aspect of the Ukrainian society
Russia is the Victim,Statements that portray Russia as being unfairly targeted or victimized.,Look for narratives that depict Russia as suffering unjust consequences. Focus on language that evokes sympathy for Russia's position.
Praise of Russia,"Statements that positively highlight Russia's actions, policies, or character","Identify expressions of admiration, support, or positive evaluation of Russia. Consider both explicit praise and subtle commendation."
Overpraising the West,"Statements that excessively and unduly laud or extol the virtues, accomplishments, and moral superiority of Western countries, particularly in the context of international relations and military.",
Speculating war outcomes,Statements that predict or make assumptions about the potential results or consequences of a conflict,
"Discrediting the West, Diplomacy","Statements that criticize the Western countries, or international diplomatic efforts.","Look for criticism or negative portrayals of Western governments, leaders, or policies. Pay attention to language that suggests incompetence, hypocrisy, or malice."
Negative Consequences for the West,Statements that highlight or predict adverse outcomes for Western countries and their interests.,Identify predictions or reports of negative impacts on Western nations. Consider both current and future consequences mentioned.
Distrust towards Media,Statements that question the reliability or integrity of media organizations.,"Look for language that undermines confidence in media sources. Pay attention to claims of bias, misinformation, or manipulation."
Amplifying war-related fears,"Statements that evoke fear or anxiety about potential threats, dangers or reactions.",Identify language designed to elicit fear or concern about severe consequences. Consider both direct and implied threats mentioned.
Hidden plots by secret schemes of powerful groups,Statements that suggest hidden plots or secretive actions by powerful groups related to the war.,"Look for narratives involving clandestine activities, secret agendas, or unproven allegations. Focus on claims that lack credible evidence and suggest hidden motives."
