Sub-Narrative,Sub-Narrative Definition,Sub-Narrative Instruction,Narrative ID
Climate policies are ineffective,Statements suggesting that climate policies fail to achieve their intended environmental goals.,,1
Climate policies have negative impact on the economy,Statements claiming that climate policies lead to negative economic outcomes.,,1
Climate policies are only for profit,Statements that argue climate policies are driven by financial or corporate gain rather than genuine environmental concerns.,,1
Criticism of the EU,Statements that express disapproval or distrust of the EU's role or approach to climate change or the EU in general.,,2
Criticism of international entities,Statements that criticize the role and influence of international entities on climate policy.,,2
Criticism of national governments,Statements that disapprove of the ways national governments handle climate change.,,2
Criticism of political organizations and figures,Statements that discredit political organizations and figures in the context of climate change debate.,,2
CO2 is beneficial,Statements suggesting that increased CO2 levels have positive impacts on the environment.,,3
Temperature increase is beneficial,Statements claiming that rising global temperatures can have positive effects.,,3
Climate cycles are natural,Statements suggesting that climate change is a natural and cyclical occurrence.,,4
Weather suggests the trend is global cooling,Statements using local or short-term weather patterns to argue against global warming.,,4
Temperature increase does not have significant impact,Statements claiming that the increase in temperature is not going to have any noticeable effect in nature.,,4
CO2 concentrations are too small to have an impact,Statements claiming that the concentrations of CO2 will have a negligible effect.,,4
Human activities do not impact climate change,Statements that support that climate change is not caused by human activity.,,4
Ice is not melting,Statements claiming that there is not melting of ice.,,4
Sea levels are not rising,Statements denying that sea levels have risen (or will rise).,,4
Humans and nature will adapt to the changes,Statements claiming that whatever the changes in climate humans or nature will manage to find solutions to adapt.,,4
Methodologies/metrics used are unreliable/faulty,Statements claiming that the scientific methodologies and metrics used to measure climate change are flawed or unreliable.,,5
Data shows no temperature increase,Statements asserting that available data does not support the claim of global temperature increase.,,5
Greenhouse effect/carbon dioxide do not drive climate change,Statements asserting that available data does not support the claim of global temperature increase.,,5
Scientific community is unreliable,"Statements discrediting scientists, the scientific community and their actions.",,5
Climate movement is alarmist,Statements suggesting that the climate movement exaggerates the severity of climate change for dramatic effect.,,6
Climate movement is corrupt,"Statements alleging that the climate movement is influenced by ulterior motives, by corruption or by unethical practices.",,6
Ad hominem attacks on key activists,"Statements attacking the reputation of key figures (such as scientists, activists, politicians or public figures).",,6
Renewable energy is dangerous,Statements claiming that renewable energy sources pose significant risks or dangers.,,7
Renewable energy is unreliable,Statements asserting that renewable energy sources are not dependable for widespread adoption.,,7
Renewable energy is costly,"Statements asserting that renewable energy sources are too expensive, inefficient and worth adopting for widespread use.",,7
Nuclear energy is not climate friendly,Statements asserting that nuclear sources are or should not be considered as good for the climate.,,7
Blaming global elites,Statements attributing climate change agendas to secretive and powerful global elites.,,8
Climate agenda has hidden motives,"Claims that the push for climate action is driven by ulterior motives, such as political power or population control.",,8
Earth will be uninhabitable soon,Statements predicting that the Earth will become uninhabitable in the near future due to climate change.,,9
Amplifying existing fears of global warming,Statements that are using fears related to warming of the earths surface and atmosphere and speculating on side effects to spread panic.,,9
Doomsday scenarios for humans,Statements presenting intense catastrophic scenarios as results of climate change.,,9
Whatever we do it is already too late,Statements that minimize the urgency of addressing climate change by suggesting that any action taken at this point is futile or too late to make a meaningful impact.,,9
Climate-related international relations are abusive/exploitative,Statements criticizing international relations related to climate change as exploitative or economically abusive.,,10
Green activities are a form of neo-colonialism,"Statements suggesting that green initiatives are a way for developed countries to exert control and influence over developing nations, a modern form of colonial practices.",,10
